0,535
0,547
1,589
1,403
2,595
2,401
3,547
3,595
4,589
4,403
5,403
5,502
6,510
6,533
7,48
7,535
8,595
8,401
9,547
9,638
10,114
10,531
11,434
11,128
12,595
12,476
13,595
13,114
14,595
14,725
15,595
15,725
16,547
16,470
17,535
17,538
18,114
18,618
19,533
19,114
20,595
20,452
21,413
21,617
22,547
22,598
23,618
23,48
24,121
24,598
25,401
25,507
26,531
26,533
27,413
27,114
28,612
28,434
29,595
29,391
30,533
30,518
31,510
31,533
32,595
32,413
33,725
33,401
34,510
34,533
35,547
35,603
36,595
36,114
37,413
37,12
38,407
38,502
39,589
39,639
40,703
40,118
41,413
41,638
42,470
42,618
43,547
43,583
44,595
44,420
45,595
45,547
46,697
46,7
47,595
47,114
48,7
48,121
49,638
49,434
50,734
50,523
51,595
51,7
52,582
52,246
53,432
53,309
54,547
54,353
55,538
55,603
56,589
56,397
57,603
57,33
58,547
58,517
59,114
59,510
60,452
60,502
61,114
61,547
62,595
62,391
63,114
63,612
64,589
64,403
65,595
65,114
66,612
66,114
67,595
67,114
68,33
68,121
69,589
69,128
70,595
70,391
71,589
71,413
72,589
72,7
73,595
73,114
74,535
74,603
75,595
75,391
76,114
76,663
77,595
77,470
78,547
78,595
79,547
79,725
80,615
80,114
81,12
81,33
82,595
82,413
83,273
83,443
84,595
84,114
85,595
85,391
86,547
86,476
87,598
87,547
88,595
88,114
89,547
89,618
90,114
90,401
91,547
91,452
92,595
92,615
93,547
93,114
94,33
94,309
95,589
95,413
96,652
96,747
97,114
97,685
98,33
98,253
99,538
99,121
100,595
100,401
101,88
101,547
102,589
102,595
103,401
103,603
104,391
104,658
105,595
105,725
106,595
106,391
107,7
107,114
108,595
108,114
109,48
109,114
110,595
110,114
111,595
111,114
112,403
112,502
113,7
113,128
114,156
114,24
115,595
115,476
116,114
116,533
117,617
117,535
118,507
118,658
119,121
119,128
120,128
120,440
121,564
121,583
122,589
122,413
123,470
123,114
124,7
124,114
125,547
125,470
126,547
126,595
127,413
127,681
128,510
128,603
129,595
129,658
130,734
130,547
131,589
131,403
132,725
132,413
133,595
133,510
134,595
134,452
135,114
135,595
136,114
136,121
137,547
137,7
138,114
138,389
139,452
139,663
140,114
140,603
141,413
141,725
142,547
142,603
143,547
143,114
144,595
144,538
145,401
145,452
146,408
146,413
147,476
147,547
148,403
148,583
149,547
149,638
150,576
150,528
151,538
151,598
152,510
152,734
153,595
153,547
154,547
154,114
155,603
155,538
156,547
156,615
157,547
157,595
158,547
158,595
159,403
159,583
160,595
160,401
161,595
161,476
162,595
162,476
163,538
163,603
164,518
164,603
165,547
165,595
166,114
166,123
167,595
167,617
168,535
168,470
169,547
169,595
170,510
170,533
171,114
171,121
172,589
172,403
173,595
173,114
174,547
174,598
175,547
175,589
176,547
176,401
177,401
177,531
178,725
178,413
179,547
179,114
180,595
180,476
181,547
181,598
182,408
182,518
183,595
183,114
184,547
184,564
185,114
185,48
186,595
186,658
187,595
187,391
188,595
188,378
189,595
189,547
190,33
190,46
191,531
191,1
192,476
192,638
193,114
193,401
194,595
194,391
195,114
195,401
196,595
196,658
197,595
197,470
198,391
198,603
199,589
199,413
200,510
200,7
201,309
201,577
202,114
202,470
203,114
203,533
204,7
204,413
205,595
205,391
206,725
206,33
207,547
207,589
208,431
208,432
209,586
209,343
210,652
210,33
211,129
211,144
212,48
212,121
213,12
213,33
214,595
214,603
215,595
215,128
216,595
216,658
217,595
217,242
218,114
218,434
219,595
219,121
220,652
220,330
221,7
221,413
222,595
222,401
223,603
223,531
224,114
224,470
225,114
225,121
226,595
226,391
227,114
227,316
228,589
228,583
229,443
229,603
230,595
230,725
231,595
231,114
232,114
232,33
233,598
233,603
234,603
234,624
235,595
235,401
236,114
236,121
237,595
237,603
238,7
238,121
239,595
239,547
240,748
240,401
241,413
241,529
242,595
242,476
243,725
243,734
244,547
244,595
245,595
245,725
246,595
246,114
247,595
247,114
248,595
248,476
249,547
249,598
